Save Date,08:47:35 2020/12/10
Mode,User

Sampling Time(ms),8.0
Time Scale(ms/div),2000.0
Data Length(ms),20000.0

Trigger Enable,0
Trigger Channel,1
Trigger Level(div),0.0
Trigger Type,0
Pre Trigger(div),5.0
AlarmNo,1

CH1,1,0,2,1,0.000
CH2,1,0,2,2,0.000
CH3,1,0,2,3,0.000
CH4,0,0,2,4,0.000
CH5,0,0,2,5,0.000
CH6,0,0,2,6,0.000
CH7,0,0,0,1,0.000
CH8,0,0,0,1,0.000
CH9,0,0,0,1,0.000
CH10,0,0,0,1,0.000

CH1,1,0,0.0,50.00
CH2,1,0,0.0,50.00
CH3,1,0,0.0,50.00
CH4,1,0,0.0,50.00
CH5,1,0,0.0,50.00
CH6,1,0,0.0,50.00
CH7,1,0,0.0,1000.00
CH8,1,0,0.0,1000.00
CH9,1,0,0.0,1000.00
CH10,1,0,0.0,1000.00

Time,CH1,CH2,CH3
ms,%,%,%
0.0,52.510483,-98.412231,-37.621033
8.0,48.984039,-91.542480,-38.200287
16.0,44.217751,-88.432800,-40.944122
24.0,41.209602,-85.465393,-39.409607
32.0,38.364056,-81.197205,-43.169678
40.0,35.823391,-80.059021,-47.336243
48.0,33.516464,-77.752167,-48.779297
56.0,31.931089,-76.613983,-49.744720
64.0,30.274574,-76.807068,-51.289398
72.0,29.268471,-74.429077,-51.990601
80.0,26.463575,-75.872131,-52.549530
88.0,25.884304,-75.750183,-53.128784
96.0,23.943235,-75.912781,-52.610504
104.0,21.992004,-75.089630,-56.492523
112.0,21.148502,-75.028656,-59.520905
120.0,20.853786,-74.866058,-62.742371
128.0,18.689138,-75.689209,-61.522888
136.0,19.288736,-73.809174,-59.500580
144.0,18.130192,-70.455597,-57.955902
152.0,19.593615,-67.030884,-58.718079
160.0,20.670858,-63.047241,-59.398956
168.0,19.248085,-58.240448,-57.894928
176.0,19.908659,-56.736420,-57.335999
184.0,17.784662,-52.823914,-55.110443
192.0,17.571245,-49.683746,-50.283325
200.0,14.278543,-47.915497,-47.742737
208.0,10.853724,-45.872864,-46.878937
216.0,9.115910,-46.076111,-50.628845
224.0,5.660604,-48.819946,-52.793427
232.0,5.762230,-51.746704,-54.216156
240.0,-0.274384,-53.545441,-55.892944
248.0,-0.396332,-57.539246,-55.770996
256.0,-2.215393,-58.403046,-55.577911
264.0,-4.928741,-62.203766,-56.258789
272.0,-4.359650,-62.965942,-58.697754
280.0,-3.363739,-61.766785,-61.929382
288.0,-4.999878,-61.604187,-63.108215
296.0,-4.461273,-57.478271,-59.500580
304.0,-3.780396,-56.096191,-53.951935
312.0,-2.764160,-54.612488,-51.726379
320.0,-0.538605,-50.445923,-50.486572
328.0,0.975616,-47.336243,-51.543457
336.0,1.656514,-42.966431,-53.250732
344.0,3.658559,-41.411591,-52.386932
352.0,2.174810,-42.874969,-52.183685
360.0,4.644337,-44.094452,-49.785370
368.0,3.780511,-46.462280,-49.399200
376.0,4.888241,-48.545563,-51.004852
384.0,5.741905,-49.460175,-54.388916
392.0,6.443129,-51.543457,-57.539246
400.0,6.148411,-50.567871,-58.240448
408.0,5.121983,-53.494629,-56.797394
416.0,6.331339,-55.933594,-56.075867
424.0,4.237831,-55.313690,-54.246643
432.0,4.319132,-56.472198,-54.795410
440.0,4.888241,-56.075867,-54.612488
448.0,3.241890,-52.691803,-56.533173
456.0,1.178869,-52.346283,-56.177490
464.0,0.660573,-50.384949,-56.279114
472.0,1.219520,-51.685730,-54.988495
480.0,-1.981659,-51.248749,-53.525116
488.0,-0.619904,-49.988617,-54.551514
496.0,-3.119843,-50.019104,-54.287292
504.0,-1.778412,-50.080078,-54.287292
512.0,-3.058868,-47.519165,-55.516937
520.0,-1.778412,-45.059875,-54.531189
528.0,-1.473541,-45.517181,-53.393005
536.0,-2.560913,-43.891205,-51.523132
544.0,-1.656464,-43.748932,-50.740631
552.0,0.599597,-44.998901,-51.126801
560.0,1.239845,-45.913513,-51.888977
568.0,2.174810,-47.295593,-53.667389
576.0,2.103671,-45.618805,-56.980316
584.0,3.323191,-44.958252,-56.594147
592.0,3.678884,-48.941895,-56.695770
600.0,3.323191,-50.120728,-55.415314
608.0,4.044740,-54.012909,-55.496613
616.0,3.963439,-55.770996,-57.854279
624.0,4.278481,-53.992584,-60.222107
632.0,3.282540,-53.088135,-58.738403
640.0,4.187017,-52.671478,-57.092102
648.0,1.941069,-50.384949,-57.051453
656.0,-0.812988,-47.539490,-54.714111
664.0,0.091464,-43.850555,-52.732452
672.0,-1.016235,-41.848572,-52.966187
680.0,-6.442932,-38.301910,-54.470215
688.0,-7.408356,-35.100769,-55.496613
696.0,-11.137939,-32.397583,-56.756744
704.0,-13.983398,-31.909790,-56.431549
712.0,-18.363373,-29.023682,-60.526978
720.0,-21.534027,-29.663910,-62.488312
728.0,-23.596985,-30.070404,-65.211823
736.0,-27.042023,-31.086639,-67.975983
744.0,-29.470825,-29.745209,-71.156799
752.0,-33.952423,-29.247253,-73.209595
760.0,-35.375153,-27.428192,-73.605927
768.0,-37.824280,-25.558319,-75.292877
776.0,-40.090485,-23.800232,-75.069305
784.0,-43.515198,-21.950684,-75.252228
792.0,-45.059875,-16.219116,-77.132263
800.0,-43.911530,-14.542328,-74.805084
808.0,-45.019226,-9.115631,-73.890472
816.0,-45.557831,-8.729462,-75.506287
824.0,-46.116760,-6.341309,-74.886383
832.0,-45.598480,-4.928741,-76.431061
840.0,-44.297699,-5.406372,-76.349762
848.0,-45.659454,-5.660431,-77.152588
856.0,-43.332275,-8.333130,-78.158661
864.0,-43.870880,-10.416412,-78.311096
872.0,-39.602692,-14.379730,-77.416809
880.0,-38.261261,-16.767883,-80.241943
888.0,-36.157654,-18.383698,-77.548920
896.0,-32.295959,-21.798248,-79.733826
904.0,-33.850800,-24.521759,-79.611877
912.0,-38.708405,-26.381470,-77.589569
920.0,-37.062103,-26.899750,-74.286804
928.0,-32.875214,-27.479004,-74.022583
936.0,-30.527710,-26.198547,-69.236115
944.0,-28.525726,-27.285919,-66.410980
952.0,-29.084656,-26.300171,-66.095947
960.0,-26.605042,-27.387543,-66.329681
968.0,-23.454712,-27.062347,-63.565521
976.0,-20.050323,-28.728973,-63.209839
984.0,-18.251587,-28.708649,-60.638763
992.0,-17.103241,-31.655731,-61.299316
1000.0,-15.060608,-33.271545,-61.248505
1008.0,-12.641968,-37.763306,-60.303406
1016.0,-10.751770,-39.907562,-60.120483
1024.0,-9.511963,-40.527466,-62.020844
1032.0,-7.926636,-41.513214,-61.685486
1040.0,-7.428680,-42.610748,-63.026917
1048.0,-5.264099,-44.470459,-62.224091
1056.0,-6.463257,-44.053802,-61.787109
1064.0,-5.507996,-46.137085,-61.187531
1072.0,-4.064941,-44.196075,-59.378632
1080.0,-3.983643,-42.387177,-61.400940
1088.0,-5.548645,-41.208344,-60.902985
1096.0,-4.827118,-39.501068,-59.358307
1104.0,-4.186890,-39.267334,-58.077850
1112.0,-4.024292,-38.261261,-56.096191
1120.0,-3.739746,-38.423859,-56.431549
1128.0,-4.207214,-38.901489,-57.193726
1136.0,-3.516174,-38.118988,-57.620544
1144.0,-3.800720,-38.799866,-57.234375
1152.0,-5.243774,-39.440094,-56.777069
1160.0,-5.345398,-42.590424,-57.295349
1168.0,-5.081177,-41.726624,-58.159149
1176.0,-6.168549,-43.616821,-61.248505
1184.0,-6.686829,-44.155426,-60.201782
